(정부보조금등),,14700,11100,7500
선박,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
항공기,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
공구기구비품,2256097,2429303,3572305,3707138
(감가상각누계액),687872,1127437,1679846,2341625
(손상차손누계액),,,,
(정부보조금등),,,,
리스자산,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
리스개량자산,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
임차개량자산,168540,227640,227640,227640
(감가상각누계액),88914,122616,153129,180179
(손상차손누계액),,,,
(정부보조금등),,,,
유형탐사평가자산,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
기타의유형자산(*),977787,822359,824287,592486
임대주택관련자산(*),,,,
임대주택용지,,,,
미완성임대주택,,,,
임대주택토지,,,,
완성임대주택,,,,
(감가상각누계액),,,,
임대주택,,,,
(임대자산조정),,,,
(감가상각누계액),,,,
임대(주택)자산,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
기타임대주택자산,,,,
미착자산,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
기타유형자산,1618186,1713186,2070702,2295223
(감가상각누계액),424132,748370,1065050,1459364
(손상차손누계액),,,,
(정부보조금등),216267,142457,181365,243373
건설중인자산,24266528,84452269,33814696,27340121
(손상차손누계액),,,,
(정부보조금등),,,,
무형자산(*),867874,730564,1111518,4963388
영업권,,,,
(손상차손누계액),,,,
(정부보조금등),,,,
개발비,,,,4136464
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
산업재산권(*),8617,16534,19450,50067
특허권,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
기타산업재산권,8617,16534,19450,50067
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
회원권및제이용권(*),,,,
회원권,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
제이용권(사용권),,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
기타의무형자산(*),859257,714030,1092068,776857
컴퓨터소프트웨어,859257,714030,1092068,776857
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
브랜드,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
라이선스와프랜차이즈,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
저작권,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
무형탐사평가자산,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
제호와출판표제,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
"조리법,공식,모형,설계및시제품",,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
배출권자산,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금 등),,,,
기타무형자산,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
개발중인무형자산,,,,
(손상차손누계액),,,,
(정부보조금등),,,,
비유동생물자산(*),,,,
식물(조림),,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
축산물,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
수산물,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
기타생물자산,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
투자부동산(*),,,,
토지,,,,
(손상차손누계액),,,,
(정부보조금등),,,,
건물,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
기타투자부동산,,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
장기금융자산(*),15329552,328326,440000,19287250
장기금융상품(금융기관예치금),,,,
(정부보조금등),,,,
당기손익-공정가치측정 금융자산,14736000,,440000,907438
기타포괄손익-공정가치측정 금융자산,,,,
상각후원가측정 유가증권,,,,
상각후원가측정 금융자산,,,,
매도가능금융자산(*),,,,
주식,,,,
채권,,,,
출자금,,,,
특수관계자유가증권,,,,
외화증권,,,,
수익증권,,,,
기타장기매도가능금융자산,,,,
만기보유금융자산(*),,,,
국공채,,,,
특수채,,,,
회사채,,,,
후순위채,,,,
기타장기만기보유금융자산,,,,
장기대여금,60000,,,18379812
(대손충당금),,,,
(현재가치할인차금),,,,
*특수관계자장기대여금,,,,
*주임종장기대여금,,,,
장기파생상품자산(*),,,,
옵션,,,,
선물,,,,
선도,,,,
스왑,,,,
기타장기파생상품,,,,
기타비유동금융자산(*),533552,328326,,
장기당기손익인식금융자산,,,,
보증금,593552,328326,,
(대손충당금),60000,,,
(현재가치할인차금),,,,
신주인수권,,,,
지급(금융)보증계약자산,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
기타,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
관계기업등지분관련투자자산(*),,725000,17215142,4696716
종속기업투자,,,,
관계기업투자(지분법적용투자),,,17215142,4696716
조인트벤처투자(공동기업투자),,,,
기타,,725000,,
장기매출채권및기타비유동채권(*),,,469504,324356
장기매출채권,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
*특수관계자장기매출채권,,,,
장기공사(분양)미수금(*),,,,
장기공사미수금,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
장기분양미수금,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
장기미청구공사,,,,
(추정공사손실),,,,
(대손충당금),,,,
(현재가치할인차금),,,,
장기미수금(*),,,,
장기미수금,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
*특수관계자장기미수금,,,,
장기임대미수금,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
기타의비유동채권(*),,,469504,324356
장기대출채권,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
장기보증금,,,469504,324356
(대손충당금),,,,
(현재가치할인차금),,,,
장기미수수익,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
장기임대주택채권,,,,
(국민주택기금차입금),,,,
(임대보증금),,,,
(표준임대보증금),,,,
(전환임대보증금),,,,
기타장기채권,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
이연법인세자산,,8916828,31511158,54845288
장기당기법인세자산,,,,
계약자산,,,,
(대손충당금),,,,
반품(환불)자산,,,,
배출권,,,,
기타비유동자산(*),1630723,1283725,1371596,639126
장기선급금,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
장기선급비용,,,378110,281484
(대손충당금),,,,
(현재가치할인차금),,,,
기타의비유동자산(*),1630723,1283725,993486,357642
확정급여자산등,241293,,,
리스(사용권)자산(*),1389430,1283725,993486,357642
금융리스자산,,,,
(정부보조금등),,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
운용리스자산,,,,
(정부보조금등),,,,
(감가상각누계액),,,,
(손상차손누계액),,,,
기타리스(사용권)자산,1960337,2173248,2139054,1236488
(정부보조금등),,,,
(감가상각누계액),570907,889523,1145568,878846
(손상차손누계액),,,,
리스채권(*),,,,
금융리스채권,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
해지불능리스채권,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
기타리스채권,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
장기보증금,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
기타,,,,
(대손충당금),,,,
(현재가치할인차금),,,,
기타금융업자산,,,,
부채(*),171238790,107142946,75779788,77704172
유동부채(*),126979269,89431479,60279932,69955611
단기사채,,,,
장기미지급이자,,,,
사채상환할증금,,,,
사채할증발행차금,,,,
(사채할인발행차금),,,,
(사채조정계정),,,,
단기차입금(*),38747183,36117500,31225000,52274701
*외화단기차입금,,,14700000,12914100
*특수관계자단기차입금,,,,
*주임종단기차입금,,,,
당좌차월,,,,
단기차입금,38747183,36117500,31225000,52274701
기타단기차입금,,,,
유동성장기부채(*),36577340,3471360,2471360,1142800
(현재가치할인차금),,,,
유동성사채,,,,
장기미지급이자,,,,
사채상환할증금,,,,
사채할증발행차금,,,,
(사채할인발행차금),,,,
(사채조정계정),,,,
유동성장기차입금,36577340,3471360,2471360,1142800
유동성외화장기차입금,,,,
유동성유동화채무,,,,
유동성연불매입채무,,,,
유동성(금융)리스부채(미지급금 등),,,,
기타유동성장기부채,,,,
(현재가치할인차금),,,,
유동금융부채(*),266419,703948,345489,622337
(현재가치할인차금),,,,
당기손익-공정가치측정 금융부채,,,,
상각후원가측정 금융부채,,,,
당기손익인식금융부채(*),,,,
단기매매금융부채,,,,
당기손익인식(지정)금융부채,,,,
단기상환우선주부채,,,,
단기유동화채무,,,,
(금융)리스부채,266419,345333,345488,187618
단기파생상품부채(*),,358615,,434719
옵션,,,,
선물,,,,
선도,,358615,,
스왑,,,,434719
"신주인수권,전환권",,,,
기타단기파생상품부채,,,,
지급(금융)보증계약부채,,,,
비지배지분부채,,,,
기타의유동금융부채(*),,,,
보증금,,,,
정부보조금,,,,
기타유동금융부채,,,,
(현재가치할인차금),,,,
매입채무및기타유동채무(*),25670424,44219943,26238084,15913220
매입채무,14838944,15229826,11800149,6582058
*외화매입채무,,,,
*특수관계자매입채무,,,,
미지급금(*),6269666,23276055,11457913,7232945
*외화미지급금,,,,
*특수관계자미지급금,,,,
미지급금,6269666,23276055,11457913,7232945
공사미지급금,,,,
기타미지급금,,,,
초과청구공사,,,,
(추정공사손실),,,,
기타의유동채무(*),4561814,5714062,2980022,2098217
보증금(*),,,,
수입보증금,,,,
임대보증금,,,,
기타보증금,,,,
미지급비용(*),4215897,5433153,2978998,2015443
미지급비용,4215897,5433153,2978998,2015443
미지급제세,,,,
미지급배당금,,,,
기타미지급비용,,,,
예수금(*),345917,280909,1024,82774
예수금,345917,280909,1024,82774
부가세예수금,,,,
예수보증금,,,,
기타예수금,,,,
단기금융예수금,,,,
기타채무,,,,
유동종업원급여충당부채(*),,,,
확정급여부채,,,,
(사외적립자산),,,,
(현재가치할인차금),,,,
미인식보험수리적손익,,,,
미인식과거근무원가,,,,
기타단기종업원급여충당부채,,,,
기타,,,,
기타단기충당부채(*),,,,
반품충당부채,,,,
(공사)손실부담계약충당부채,,,,
구조조정충당부채,,,,
제품보증충당부채,,,,
원상복구및사후처리충당부채,,,,
하자보수충당부채,,,,
지급(금융)보증충당부채,,,,
법적소송충당부채,,,,
기타,,,,
당기법인세부채(미지급법인세),25717903,4918728,,
계약부채,,,,
반품(환불)부채,,,,
배출부채,,,,
기타유동부채(*),,,,2553
선수금(*),,,,
선수금,,,,
공사선수금,,,,
분양선수금,,,,
임대선수금,,,,
기타선수금,,,,
선수수익,,,,2553
기타의유동부채(*),,,,
보증금,,,,
"이연수익(정부보조금,포인트관련등)",,,,
기타,,,,
매각예정으로분류된처분자산집단에포함된부채(*),,,,
비유동부채(*),,,,
사채,,,,
장기차입금,,,,
비유동금융부채,,,,
장기매입채무및기타비유동채무,,,,
비유동종업원급여충당부채,,,,
기타장기충당부채,,,,
이연법인세부채,,,,
기타비유동부채,,,,
유동부채(*),,,,
사채,,,,
단기차입금,,,,
유동금융부채,,,,
단기매입채무및기타유동채무,,,,
기타단기충당부채,,,,
기타유동부채,,,,
기타,,,,
비유동부채(*),44259521,17711467,15499856,7748561
사채(*),,,,
장기미지급이자(*),,,,
사채상환할증금(*),,,,
사채할증발행차금(*),,,,
(사채할인발행차금)(*),,,,
(사채조정계정)(*),,,,
사채,,,,
장기미지급이자,,,,
사채상환할증금,,,,
사채할증발행차금,,,,
(사채할인발행차금),,,,
전환사채,,,,
장기미지급이자,,,,
사채상환할증금,,,,
사채할증발행차금,,,,
(사채할인발행차금),,,,
(전환사채조정계정),,,,
신주인수권부사채,,,,
장기미지급이자,,,,
사채상환할증금,,,,
사채할증발행차금,,,,
(사채할인발행차금),,,,
(신주인수권부사채조정계정),,,,
교환사채,,,,
장기미지급이자,,,,
사채상환할증금,,,,
사채할증발행차금,,,,
(사채할인발행차금),,,,
(교환사채조정계정),,,,
장기차입금(*),41499190,14210320,11738960,4285500
(현재가치할인차금)(*),,,,
*외화장기차입금,,,,
*특수관계자장기차입금,,,,
*주임종장기차입금,,,,
장기차입금,41499190,14210320,11738960,4285500
(현재가치할인차금),,,,
국민주택기금차입금,,,,
(현재가치할인차금),,,,
기타장기차입금,,,,
(현재가치할인차금),,,,
비유동금융부채(*),1170228,1006731,728884,195070
(현재가치할인차금)(*),,,,
(금융)리스부채,1170228,1006731,728884,195070
(현재가치할인차금),,,,
장기상환우선주부채,,,,
(현재가치할인차금),,,,
장기유동화채무,,,,
장기파생상품부채(*),,,,
옵션,,,,
선물,,,,
선도,,,,
스왑,,,,
"신주인수권,전환권",,,,
기타장기파생상품부채,,,,
지급(금융)보증계약부채,,,,
(현재가치할인차금),,,,
비지배지분부채,,,,
기타의비유동금융부채(*),,,,
당기손익-공정가치측정 금융부채,,,,
상각후원가측정 금융부채,,,,
장기당기손익인식금융부채,,,,
보증금,,,,
(현재가치할인차금),,,,
정부보조금,,,,
기타비유동금융부채,,,,
(현재가치할인차금),,,,
장기매입채무및기타비유동채무(*),86053,1755519,114777,362015
장기매입채무(*),,,,
(현재가치할인차금)(*),,,,
*외화장기성매입채무,,,,
*특수관계자장기매입채무,,,,
장기매입채무,,,,
(현재가치할인차금),,,,
연불매입채무,,,,
(현재가치할인차금),,,,
기타장기매입채무,,,,
(현재가치할인차금),,,,
장기미지급금(*),86053,1755519,114777,362015
(현재가치할인차금)(*),,,,
*외화장기미지급금,,,,
*특수관계자장기미지급금,,,,
장기미지급금,86053,1755519,114777,362015
(현재가치할인차금),,,,
장기공사미지급금,,,,
(현재가치할인차금),,,,
기타장기미지급금,,,,
(현재가치할인차금),,,,
장기초과청구공사,,,,
(추정공사손실),,,,
(현재가치할인차금),,,,
기타의비유동채무(*),,,,
장기보증금(*),,,,
(현재가치할인차금)(*),,,,
수입보증금,,,,
(현재가치할인차금),,,,
장기임대보증금,,,,
(현재가치할인차금),,,,
기타장기보증금,,,,
(현재가치할인차금),,,,
장기미지급비용(*),,,,
(현재가치할인차금)(*),,,,
장기미지급비용,,,,
(현재가치할인차금),,,,
장기미지급제세,,,,
(현재가치할인차금),,,,
장기미지급배당금,,,,
(현재가치할인차금),,,,
기타장기미지급비용,,,,
(현재가치할인차금),,,,
장기예수금(*),,,,
(현재가치할인차금)(*),,,,
장기예수금,,,,
(현재가치할인차금),,,,
부가세장기예수금,,,,
(현재가치할인차금),,,,
장기예수보증금,,,,
(현재가치할인차금),,,,
기타장기예수금,,,,
(현재가치할인차금),,,,
장기금융예수금,,,,
기타장기채무,,,,
(현재가치할인차금),,,,
비유동종업원급여충당부채(*),161007,738898,2917234,2905976
확정급여부채,,8496718,11353189,13274732
(사외적립자산),,7977961,8738767,10757468
(현재가치할인차금),,,,
미인식보험수리적손익,,,,
미인식과거근무원가,,,,
"기타장기종업원급여부채(연차,상여등)",161007,220140,302812,388712
기타,,,,
기타장기충당부채(*),,,,
반품충당부채,,,,
(공사)손실부담계약충당부채,,,,
구조조정충당부채,,,,
제품보증충당부채,,,,
원상복구및사후처리충당부채,,,,
하자보수충당부채,,,,
지급(금융)보증충당부채,,,,
법적소송충당부채,,,,
기타,,,,
이연법인세부채,1343044,,,
장기당기법인세부채(미지급법인세),,,,
(현재가치할인차금),,,,
계약부채,,,,
반품(환불)부채,,,,
배출부채,,,,
기타비유동부채(*),,,,
장기선수금(*),,,,
(현재가치할인차금)(*),,,,
장기선수금,,,,
(현재가치할인차금),,,,
장기공사선수금,,,,
(현재가치할인차금),,,,
장기분양선수금,,,,
(현재가치할인차금),,,,
장기임대선수금,,,,
(현재가치할인차금),,,,
기타장기선수금,,,,
(현재가치할인차금),,,,
장기선수수익,,,,
(현재가치할인차금),,,,
기타의비유동부채(*),,,,
보증금,,,,
(현재가치할인차금),,,,
"이연수익(정부보조금,포인트관련등)",,,,
(현재가치할인차금),,,,
기타,,,,
(현재가치할인차금),,,,
기타금융업부채,,,,
자본(*),418605272,687018994,568392879,512388506
*수권주식수,40000000,40000000,40000000,40000000
*주당액면가액,500,500,500,500
*발행한주식총수(*),4170000,4788000,4785000,4785000
*보통주,4170000,4788000,4785000,4785000
*우선주,,,,
지배기업주주지분(*),418605272,687018994,568392879,512388506
자본금(*),2085024,2393916,2393916,2393916
보통주자본금,2085024,2393916,2393916,2393916
우선주자본금,,,,
신종자본증권,,,,
자본잉여금(*),9359281,408909377,408909377,408909377
주식발행초과금,9359281,408909377,408909377,408909377
자기주식처분이익,,,,
전환권대가,,,,
신주인수권대가,,,,
교환권대가,,,,
기타의자본잉여금(*),,,,
감자차익,,,,
배당건설이자,,,,
보험차익,,,,
합병차익,,,,
자산수증이익,,,,
채무면제이익,,,,
주식매입선택권,,,,
전환권재매입이익,,,,
기타자본잉여금,,,,
재평가적립금(2001년이전),,,,
기타자본(*),-1835570,-4148709,-3488752,-4247507
자기주식,,,,
자기주식처분손실,,,,
주식매입선택권,,,-1653182,-2411937
기타(*),-1835570,-4148709,-1835570,-1835570
주식할인발행차금,,,,
감자차손,-1835570,-1835570,-1835570,-1835570
파생상품평가이익,,,,
파생상품평가손실,,,,
전환권재매입손실,,,,
기타,,-2313139,,
기타포괄손익누계액(*),,,701264,1739474
금융자산평가손익,,,,
기타포괄손익-공정가치측정 금융자산평가손익,,,,
당기손익조정접근법 조정손익,,,,
당기손익-공정가치측정 금융부채평가손익,,,,
매도가능금융자산평가손익,,,,
관계기업등기타포괄손익,,,735129,1397339
환산관련외환차이적립금(환율변동차이),,,-33865,342135
현금흐름위험회피적립금,,,,
해외사업장순투자위험회피적립금,,,,
재평가잉여금,,,,
확정급여제도의보험수리적손익적립금,,,,
확정급여제도의재측정요소,,,,
주식기준보상적립금,,,,
기타,,,,
이익잉여금(결손금)(*),408996536,279864410,159877074,103593246
*(지배)당기순손익,105403805,71891679,-119134855,-56592517
이익준비금,,,,
재무구조개선적립금,,,,
기업합리화적립금,,,,
기업발전적립금,,,,
기타법정적립금,1042512,1042512,1042512,1042512
재평가손익,,,,
보험수리적손익,,,,
기술개발준비금,,,,
연구및인력개발준비금,,,,
사업손실준비금,,,,
퇴직급여적립금,,,,
기타임의적립금,,,,
기타이익잉여금,,,,
미처분이익잉여금(결손금),407954024,278821898,158834562,102550734
*전기이월미처분이익잉여금(결손금),,,,
비지배주주지분,,,,
*(비지배)당기순손익,,,,
*비지배주주지분초과손실액,,,,
매출액(수익)(*),423641390,439439385,128404367,209914340
*수출(*),,,,
*상품수출매출,,,,
*제품수출매출,,,,
*상품제품수출매출,,,,
*해외공사수익,,,,
*내수,,,,
*특수관계자매출(수익),,,,
상품매출액,,,,
제품매출액,423641390,439439385,,
상품제품매출액,,,,
공사수익,,,,
분양수익,,,,
용지매출수익,,,,
용역수익,,,,
임대수익,,,,
수수료수익,,,,
로열티수익,,,,
"통신,방송(제작)수익",,,,
리스(렌탈)수익,,,,
지분법이익,,,,
금융수익,,,,
이자수익,,,,
배당수익,,,,
기타,,,128404367,209914340
(매출조정)(*),,,,
(매출에누리와환입),,,,
반품추정매출,,,,
(매출할인),,,,
(매출장려금),,,,
(주세담배소비세등),,,,
(기타매출조정),,,,
매출원가(*),273113277,375107757,263115610,253139455
*특수관계자매출원가,,,,
상품매출원가(*),,,,
기초상품재고액,,,,
당기상품매입액,,,,
재고자산평가손실(환입),,,,
전입,,,,
(관세환급금),,,,
(대체),,,,
(기말상품재고액),,,,
제품매출원가(*),273113277,375107757,,
기초제품재고액,,,,
당기제조원가,,,,
재고자산평가손실(환입),,,,
전입,,,,
(관세환급금),,,,
(대체),,,,
(기말제품재고액),,,,
상품제품매출원가(*),,,,
기초재고액,,,,
당기매입액,,,,
재고자산평가손실(환입),,,,
전입,,,,
(관세환급금),,,,
(대체),,,,
(기말재고액),,,,
공사원가,,,,
분양원가,,,,
용지매출원가,,,,
용역원가,,,,
임대원가,,,,
수수료원가,,,,
로열티원가,,,,
"통신,방송(제작)비",,,,
리스(렌탈)원가,,,,
지분법손실,,,,
금융비용,,,,
이자비용,,,,
기타매출원가,,,263115610,253139455
(매출원가조정)(*),,,,
(매입에누리와환출),,,,
반품추정매출원가,,,,
(매입할인),,,,
(관세환급금),,,,
재고자산평가손실(환입),,,,
(기타매출원가조정),,,,
매출총이익(손실),150528113,64331628,-134711243,-43225115
판매비와관리비(*),7772756,14313404,20155854,20370682
인건비(*),3115340,5289272,5421076,6248738
급여,1868203,3709048,3486591,4361252
퇴직급여,202400,316225,444927,508739
명예퇴직,,,,
복리후생비,1044737,1063984,1310162,1245335
주식보상비,,200015,179396,133412
유무형자산상각비(*),442993,687134,554673,454687
감가상각비,383227,533031,407009,309992
무형자산상각비(*),59766,154103,147664,144695
개발비상각,,,,
기타무형자산상각비,59766,154103,147664,144695
연구개발비,1455977,2640314,2720350,2660166
광고선전비,,,,
판매비(*),,,,
판매촉진비및판매수수료(*),,,,
판매촉진비,,,,
판매수수료,,,,
분양대행수수료,,,,
물류비용(*),,,,
보관료,,,,
포장비,,,,
운반비,,,,
기타물류원가,,,,
수출비용,,,,
특허권등사용료,,,,
반품비용,,,,
A/S비용(*),,,,
애프터서비스비,,,,
하자보수충당부채전입액,,,,
대손상각비,,,,
기타판매비(*),,,,
견본비,,,,
해외시장개척비,,,,
